id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1181	"yadollahi, mohammad mehdi"	1.2889	-0.1451	4	2	2	1	6	2.4632	2021	6	2.4632
1183	"yamaguchi, yuto"	0.9249	-0.2755	6	19	23	2	54	2.7794	2016	27	1.3897
1186	"yan, harry yaojun"	0.1023	-0.1191	8	25	38	1	11	4.5158	2021	11	4.5158
1188	"yang, junghwan"	0.0427	0.6835	5	21	21	1	60	8.1319	2020	60	8.1319
1189	"yang, kai-cheng"	-0.1635	-0.0375	8	84	222	6	201	26.7222	2020.1667	33.5	4.4537
1198	"yoo, daisy"	0.1939	-0.0393	6	57	62	1	100	4.7826	2015	100	4.7826
1205	"yuan, xiaoyi"	0.7367	1.2835	11	20	20	1	37	3.6484	2019	37	3.6484
1206	"zad, samira"	-0.7098	-1.2589	15	4	5	1	5	2.0526	2021	5	2.0526
1208	"zago, mattia"	0.1047	0.7275	5	31	36	2	14	1.6759	2019.5	7	0.8379
1210	"zaki, nazar"	0.7967	-0.0872	4	32	32	1	26	2.0179	2018	26	2.0179
1214	"zeng, daniel"	0.9303	-0.1908	4	25	32	2	50	3.6212	2017	25	1.8106
1215	"zerback, thomas"	0.0517	0.6783	5	5	5	1	18	7.3895	2021	18	7.3895
1216	"zerfass, ansgar"	-0.2425	-0.5196	2	5	5	1	5	2.0526	2021	5	2.0526
1220	"zhang, li"	1.4391	-0.4549	13	3	3	1	15	1.4791	2019	15	1.4791
1222	"zhang, xichen"	1.2883	-0.1446	4	2	2	1	6	2.4632	2021	6	2.4632
